證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","266,405,667","476,354,613",35.86,64.13,100.00,100.00,,109/05/29,2020-09-01
2382,廣達,TW0002382009,"3,862,627,432","2,713,524,495","1,149,102,937",70.25,29.74,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2382&date=10909' target=_blank>4</a>,109/05/22,2020-09-01
2417,圓剛,TW0002417003,"192,892,330","186,137,353","6,754,977",96.49,3.5,100.00,100.00,,109/06/05,2020-09-01
2357,華碩,TW0002357001,"742,760,280","265,783,615","476,976,665",35.78,64.21,100.00,100.00,,109/05/29,2020-09-02
2382,廣達,TW0002382009,"3,862,627,432","2,713,904,612","1,148,722,820",70.26,29.73,100.00,100.00,,109/05/22,2020-09-02
2417,圓剛,TW0002417003,"192,892,330","186,111,353","6,780,977",96.48,3.51,100.00,100.00,,109/06/05,2020-09-02
2357,華碩,TW0002357001,"742,760,280","264,140,293","478,619,987",35.56,64.43,100.00,100.00,,109/05/29,2020-09-03
2382,廣達,TW0002382009,"3,862,627,432","2,709,068,560","1,153,558,872",70.13,29.86,100.00,100.00,,109/05/22,2020-09-03
2417,圓剛,TW0002417003,"192,892,330","186,034,353","6,857,977",96.44,3.55,100.00,100.00,,109/06/05,2020-09-03
2357,華碩,TW0002357001,"742,760,280","265,157,444","477,602,836",35.69,64.3,100.00,100.00,,109/05/29,2020-09-04
2382,廣達,TW0002382009,"3,862,627,432","2,713,251,655","1,149,375,777",70.24,29.75,100.00,100.00,,109/05/22,2020-09-04
2417,圓剛,TW0002417003,"192,892,330","186,268,353","6,623,977",96.56,3.43,100.00,100.00,,109/06/05,2020-09-04
2357,華碩,TW0002357001,"742,760,280","265,213,402","477,546,878",35.7,64.29,100.00,100.00,,109/05/29,2020-09-07
2382,廣達,TW0002382009,"3,862,627,432","2,712,762,378","1,149,865,054",70.23,29.76,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2382&date=10909' target=_blank>4</a>,109/05/22,2020-09-07
2417,圓剛,TW0002417003,"192,892,330","185,950,353","6,941,977",96.4,3.59,100.00,100.00,,109/06/05,2020-09-07
2357,華碩,TW0002357001,"742,760,280","264,527,765","478,232,515",35.61,64.38,100.00,100.00,,109/05/29,2020-09-08
2382,廣達,TW0002382009,"3,862,627,432","2,714,410,596","1,148,216,836",70.27,29.72,100.00,100.00,,109/05/22,2020-09-08
2417,圓剛,TW0002417003,"192,892,330","184,565,353","8,326,977",95.68,4.31,100.00,100.00,,109/06/05,2020-09-08
2357,華碩,TW0002357001,"742,760,280","264,390,411","478,369,869",35.59,64.4,100.00,100.00,,109/05/29,2020-09-09
2382,廣達,TW0002382009,"3,862,627,432","2,712,491,791","1,150,135,641",70.22,29.77,100.00,100.00,,109/05/22,2020-09-09
2417,圓剛,TW0002417003,"192,892,330","187,129,353","5,762,977",97.01,2.98,100.00,100.00,,109/06/05,2020-09-09
2357,華碩,TW0002357001,"742,760,280","262,764,922","479,995,358",35.37,64.62,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10909' target=_blank>4</a>,109/05/29,2020-09-10
2382,廣達,TW0002382009,"3,862,627,432","2,710,039,314","1,152,588,118",70.16,29.83,100.00,100.00,,109/05/22,2020-09-10
2417,圓剛,TW0002417003,"192,892,330","186,609,353","6,282,977",96.74,3.25,100.00,100.00,,109/06/05,2020-09-10
2357,華碩,TW0002357001,"742,760,280","263,359,922","479,400,358",35.45,64.54,100.00,100.00,,109/05/29,2020-09-11
2382,廣達,TW0002382009,"3,862,627,432","2,709,004,314","1,153,623,118",70.13,29.86,100.00,100.00,,109/05/22,2020-09-11
2417,圓剛,TW0002417003,"192,892,330","184,270,353","8,621,977",95.53,4.46,100.00,100.00,,109/06/05,2020-09-11
2357,華碩,TW0002357001,"742,760,280","262,829,763","479,930,517",35.38,64.61,100.00,100.00,,109/05/29,2020-09-14
2382,廣達,TW0002382009,"3,862,627,432","2,706,592,780","1,156,034,652",70.07,29.92,100.00,100.00,,109/05/22,2020-09-14
2417,圓剛,TW0002417003,"192,892,330","182,261,353","10,630,977",94.48,5.51,100.00,100.00,,109/06/05,2020-09-14
2357,華碩,TW0002357001,"742,760,280","262,671,879","480,088,401",35.36,64.63,100.00,100.00,,109/05/29,2020-09-15
2382,廣達,TW0002382009,"3,862,627,432","2,705,469,464","1,157,157,968",70.04,29.95,100.00,100.00,,109/05/22,2020-09-15
2417,圓剛,TW0002417003,"192,892,330","184,496,836","8,395,494",95.64,4.35,100.00,100.00,,109/06/05,2020-09-15
2357,華碩,TW0002357001,"742,760,280","262,138,069","480,622,211",35.29,64.7,100.00,100.00,,109/05/29,2020-09-16
2382,廣達,TW0002382009,"3,862,627,432","2,701,282,016","1,161,345,416",69.93,30.06,100.00,100.00,,109/05/22,2020-09-16
2417,圓剛,TW0002417003,"192,892,330","185,283,836","7,608,494",96.05,3.94,100.00,100.00,,109/06/05,2020-09-16
2357,華碩,TW0002357001,"742,760,280","261,655,051","481,105,229",35.22,64.77,100.00,100.00,,109/05/29,2020-09-17
2382,廣達,TW0002382009,"3,862,627,432","2,698,223,376","1,164,404,056",69.85,30.14,100.00,100.00,,109/05/22,2020-09-17
2417,圓剛,TW0002417003,"192,892,330","184,991,836","7,900,494",95.9,4.09,100.00,100.00,,109/06/05,2020-09-17
2357,華碩,TW0002357001,"742,760,280","261,560,938","481,199,342",35.21,64.78,100.00,100.00,,109/05/29,2020-09-18
2382,廣達,TW0002382009,"3,862,627,432","2,699,456,862","1,163,170,570",69.88,30.11,100.00,100.00,,109/05/22,2020-09-18
2417,圓剛,TW0002417003,"192,892,330","186,155,836","6,736,494",96.5,3.49,100.00,100.00,,109/06/05,2020-09-18
2357,華碩,TW0002357001,"742,760,280","261,346,647","481,413,633",35.18,64.81,100.00,100.00,,109/05/29,2020-09-21
2382,廣達,TW0002382009,"3,862,627,432","2,699,677,917","1,162,949,515",69.89,30.1,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2382&date=10909' target=_blank>4</a>,109/05/22,2020-09-21
2417,圓剛,TW0002417003,"192,892,330","185,895,836","6,996,494",96.37,3.62,100.00,100.00,,109/06/05,2020-09-21
2357,華碩,TW0002357001,"742,760,280","260,550,951","482,209,329",35.07,64.92,100.00,100.00,,109/05/29,2020-09-22
2382,廣達,TW0002382009,"3,862,627,432","2,699,432,660","1,163,194,772",69.88,30.11,100.00,100.00,,109/05/22,2020-09-22
2417,圓剛,TW0002417003,"192,892,330","184,788,836","8,103,494",95.79,4.2,100.00,100.00,,109/06/05,2020-09-22
2357,華碩,TW0002357001,"742,760,280","260,488,819","482,271,461",35.07,64.92,100.00,100.00,,109/05/29,2020-09-23
2382,廣達,TW0002382009,"3,862,627,432","2,698,976,630","1,163,650,802",69.87,30.12,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2382&date=10909' target=_blank>4</a>,109/05/22,2020-09-23
2417,圓剛,TW0002417003,"192,892,330","185,827,836","7,064,494",96.33,3.66,100.00,100.00,,109/06/05,2020-09-23
2357,華碩,TW0002357001,"742,760,280","261,162,694","481,597,586",35.16,64.83,100.00,100.00,,109/05/29,2020-09-24
2382,廣達,TW0002382009,"3,862,627,432","2,700,126,296","1,162,501,136",69.9,30.09,100.00,100.00,,109/05/22,2020-09-24
2417,圓剛,TW0002417003,"192,892,330","185,095,836","7,796,494",95.95,4.04,100.00,100.00,,109/06/05,2020-09-24
2357,華碩,TW0002357001,"742,760,280","261,223,694","481,536,586",35.16,64.83,100.00,100.00,,109/05/29,2020-09-25
2382,廣達,TW0002382009,"3,862,627,432","2,698,527,296","1,164,100,136",69.86,30.13,100.00,100.00,,109/05/22,2020-09-25
2417,圓剛,TW0002417003,"192,892,330","182,039,836","10,852,494",94.37,5.62,100.00,100.00,,109/06/05,2020-09-25
2357,華碩,TW0002357001,"742,760,280","261,130,573","481,629,707",35.15,64.84,100.00,100.00,,109/05/29,2020-09-28
2382,廣達,TW0002382009,"3,862,627,432","2,697,144,416","1,165,483,016",69.82,30.17,100.00,100.00,,109/05/22,2020-09-28
2417,圓剛,TW0002417003,"192,892,330","182,527,836","10,364,494",94.62,5.37,100.00,100.00,,109/06/05,2020-09-28
2357,華碩,TW0002357001,"742,760,280","260,922,059","481,838,221",35.12,64.87,100.00,100.00,,109/05/29,2020-09-29
2382,廣達,TW0002382009,"3,862,627,432","2,695,145,281","1,167,482,151",69.77,30.22,100.00,100.00,,109/05/22,2020-09-29
2417,圓剛,TW0002417003,"192,892,330","184,760,836","8,131,494",95.78,4.21,100.00,100.00,,109/06/05,2020-09-29
2357,華碩,TW0002357001,"742,760,280","260,173,718","482,586,562",35.02,64.97,100.00,100.00,,109/05/29,2020-09-30
2382,廣達,TW0002382009,"3,862,627,432","2,693,455,776","1,169,171,656",69.73,30.26,100.00,100.00,,109/05/22,2020-09-30
2417,圓剛,TW0002417003,"192,892,330","184,690,836","8,201,494",95.74,4.25,100.00,100.00,,109/06/05,2020-09-30
